Target_Table_ID,Source_Table_ID,Target_Table_Name,Source_Table_Name
TBL002,TBL003,sf_BRMPipeline,product_2
TBL002,TBL004,sf_BRMPipeline,sf_opportunities
TBL004,TBL005,sf_opportunities,opportunity
TBL005,TBL006,opportunity,opportunity
TBL005,TBL007,opportunity,account
TBL005,TBL008,opportunity,user
TBL005,TBL009,opportunity,campaign
TBL005,TBL010,opportunity,contact
TBL005,TBL011,opportunity,record_type
TBL005,TBL012,opportunity,user_role
TBL005,TBL013,opportunity,opportunity_line_item
TBL004,TBL014,sf_opportunities,salesforce_opportunity
TBL004,TBL015,sf_opportunities,salesforce_opportunityLineItem
TBL004,TBL016,sf_opportunities,salesforce_pricebookEntry
TBL004,TBL017,sf_opportunities,salesforce_product2
TBL004,TBL018,sf_opportunities,salesforce_account
TBL004,TBL019,sf_opportunities,salesforce_user
TBL004,TBL020,sf_opportunities,salesforce_userRole
TBL004,TBL021,sf_opportunities,salesforce_currencyType
TBL004,TBL022,sf_opportunities,salesforce_user
TBL004,TBL023,sf_opportunities,salesforce_userRole
TBL004,TBL024,sf_opportunities,salesforce_contact
TBL004,TBL025,sf_opportunities,salesforce_campaign
TBL004,TBL026,sf_opportunities,salesforce_opportunityCampaign
TBL004,TBL027,sf_opportunities,salesforce_opportunityTeamMember
TBL004,TBL028,sf_opportunities,salesforce_opportunityContactRole
TBL029,TBL030,anaplan_recrev,anaplan_lastClosedPeriod
TBL029,TBL031,anaplan_recrev,ns_tmpRevProdSeg
TBL032,TBL004,sf_BRMNewUpsellOpps,sf_opportunities
TBL032,TBL033,sf_BRMNewUpsellOpps,salesforce_quotaTerritories
TBL034,TBL035,BRMARRForewardLook (Query),BRMARRForewardLook
TBL036,TBL037,netsuite_arrPerAccount,netsuite_accountsSegments
TBL036,TBL038,netsuite_arrPerAccount,arr_Revenue
TBL039,TBL003,sf_salesPerAccount,product_2
TBL039,TBL004,sf_salesPerAccount,sf_opportunities
TBL042,TBL043,sf_BRMCombined,sf_BRMCreatedPipeline
TBL042,TBL032,sf_BRMCombined,sf_BRMNewUpsellOpps
TBL042,TBL044,sf_BRMCombined,arr_BRMARR
TBL042,TBL030,sf_BRMCombined,anaplan_lastClosedPeriod
TBL042,TBL031,sf_BRMCombined,ns_tmpRevProdSeg
TBL042,TBL045,sf_BRMCombined,cross_product_maus
TBL042,TBL046,sf_BRMCombined,geo_countryTerritory
TBL042,TBL004,sf_BRMCombined,sf_opportunities
TBL043,TBL004,sf_BRMCreatedPipeline,sf_opportunities
TBL043,TBL047,sf_BRMCreatedPipeline,marketing_product_funnel_targets
TBL044,TBL048,arr_BRMARR,arr_forecastProductSegmentMovements
TBL044,TBL038,arr_BRMARR,arr_Revenue
TBL049,TBL044,arr_ARRGross,arr_BRMARR
TBL050,TBL032,sf_BRMPipelineConfidence,sf_BRMNewUpsellOpps
TBL051,TBL004,sf_BRMCreatedPipeline,sf_opportunities
TBL051,TBL047,sf_BRMCreatedPipeline,marketing_product_funnel_targets
TBL053,TBL054,UCN0011_DUPLICATES_CHECK,UCN0011view
TBL054,TBL003,UCN0011view,product_2
TBL054,TBL004,UCN0011view,sf_opportunities
TBL054,TBL055,UCN0011view,asana_ClientSuccessProjects
TBL054,TBL056,UCN0011view,sf_churnAnalyzer
TBL055,TBL057,asana_ClientSuccessProjects,asana_ClientSuccessSCD2
TBL056,TBL058,sf_churnAnalyzer,DA_churnAnalyzer
TBL056,TBL059,sf_churnAnalyzer,DA_churnAnalyzer2
TBL056,TBL004,sf_churnAnalyzer,sf_opportunities
TBL056,TBL046,sf_churnAnalyzer,geo_countryTerritory
TBL060,TBL061,SF_Opportunities,sf_DAOpportunities
TBL061,TBL046,sf_DAOpportunities,geo_countryTerritory
TBL061,TBL003,sf_DAOpportunities,product_2
TBL061,TBL004,sf_DAOpportunities,sf_opportunities
TBL061,TBL062,sf_DAOpportunities,sf_activities
TBL062,TBL063,sf_activities,salesforce_task
TBL062,TBL064,sf_activities,salesforce_event
TBL062,TBL065,sf_activities,salesforce_eventOwner
TBL062,TBL066,sf_activities,salesforce_recordType
TBL062,TBL018,sf_activities,salesforce_account
TBL062,TBL019,sf_activities,salesforce_user
TBL062,TBL020,sf_activities,salesforce_userRole
TBL062,TBL014,sf_activities,salesforce_opportunity
TBL067,TBL068,SF_Activities_Completed,sf_DAActivities
TBL068,TBL062,sf_DAActivities,sf_activities
TBL068,TBL004,sf_DAActivities,sf_opportunities
TBL069,TBL061,Tiers,sf_DAOpportunities
TBL070,TBL004,JW_CHURN_query,sf_opportunities
TBL070,TBL046,JW_CHURN_query,geo_countryTerritory
TBL070,TBL062,JW_CHURN_query,sf_activities
TBL072,TBL007,SRAD,account
TBL072,TBL073,SRAD,task
TBL072,TBL074,SRAD,project_task
TBL072,TBL075,SRAD,project
TBL072,TBL076,SRAD,Dimensions_NCA_historical
TBL077,TBL061,SF_Accounts,sf_DAOpportunities
TBL077,TBL078,SF_Accounts,sf_DAAccounts
TBL078,TBL079,sf_DAAccounts,sf_accounts
TBL078,TBL004,sf_DAAccounts,sf_opportunities
TBL078,TBL062,sf_DAAccounts,sf_activities
TBL078,TBL046,sf_DAAccounts,geo_countryTerritory
TBL079,TBL018,sf_accounts,salesforce_account
TBL079,TBL019,sf_accounts,salesforce_user
TBL079,TBL020,sf_accounts,salesforce_userRole
TBL079,TBL066,sf_accounts,salesforce_recordType
TBL080,TBL081,UCN0011,UCN0011view
TBL081,TBL003,UCN0011view,product_2
TBL081,TBL004,UCN0011view,sf_opportunities
TBL081,TBL055,UCN0011view,asana_ClientSuccessProjects
TBL081,TBL056,UCN0011view,sf_churnAnalyzer
TBL082,TBL083,sf_cases,sf_cases
TBL082,TBL004,sf_cases,sf_opportunities
TBL083,TBL084,sf_cases,email_message
TBL083,TBL085,sf_cases,salesforce_case
TBL083,TBL024,sf_cases,salesforce_contact
TBL083,TBL066,sf_cases,salesforce_recordType
TBL083,TBL018,sf_cases,salesforce_account
TBL083,TBL019,sf_cases,salesforce_user
TBL083,TBL020,sf_cases,salesforce_userRole
TBL084,TBL086,email_message,email_message
TBL087,TBL088,sf_segments,grid
TBL087,TBL046,sf_segments,geo_countryTerritory
TBL087,TBL079,sf_segments,sf_accounts
TBL089,TBL090,sf_marketPublisher,publications
TBL089,TBL079,sf_marketPublisher,sf_accounts
TBL089,TBL004,sf_marketPublisher,sf_opportunities
TBL091,TBL092,grants2,grants
TBL091,TBL046,grants2,geo_countryTerritory
TBL091,TBL088,grants2,grid
TBL091,TBL004,grants2,sf_opportunities
TBL094,TBL095,grid_govfund,sf_marketGovernment
TBL095,TBL088,sf_marketGovernment,grid
TBL095,TBL046,sf_marketGovernment,geo_countryTerritory
TBL095,TBL090,sf_marketGovernment,publications
TBL095,TBL092,sf_marketGovernment,grants
TBL095,TBL096,sf_marketGovernment,patents
TBL095,TBL097,sf_marketGovernment,clinical_trials
TBL095,TBL098,sf_marketGovernment,datasets
TBL095,TBL099,sf_marketGovernment,policy_documents
TBL095,TBL079,sf_marketGovernment,sf_accounts
TBL095,TBL004,sf_marketGovernment,sf_opportunities
TBL100,TBL101,sf_crossSellCandidates,sf_crossSellCandidates
TBL100,TBL004,sf_crossSellCandidates,sf_opportunities
TBL104,TBL105,grid_academic,sf_marketAcademic
TBL105,TBL046,sf_marketAcademic,geo_countryTerritory
TBL105,TBL090,sf_marketAcademic,publications
TBL105,TBL092,sf_marketAcademic,grants
TBL105,TBL096,sf_marketAcademic,patents
TBL105,TBL097,sf_marketAcademic,clinical_trials
TBL105,TBL098,sf_marketAcademic,datasets
TBL105,TBL099,sf_marketAcademic,policy_documents
TBL105,TBL079,sf_marketAcademic,sf_accounts
TBL105,TBL004,sf_marketAcademic,sf_opportunities
TBL105,TBL088,sf_marketAcademic,grid
TBL106,TBL092,grants10,grants
TBL106,TBL046,grants10,geo_countryTerritory
TBL106,TBL088,grants10,grid
TBL106,TBL004,grants10,sf_opportunities
TBL108,TBL109,grid_corppharm,sf_marketCorpPharma
TBL109,TBL046,sf_marketCorpPharma,geo_countryTerritory
TBL109,TBL090,sf_marketCorpPharma,publications
TBL109,TBL092,sf_marketCorpPharma,grants
TBL109,TBL096,sf_marketCorpPharma,patents
TBL109,TBL097,sf_marketCorpPharma,clinical_trials
TBL109,TBL098,sf_marketCorpPharma,datasets
TBL109,TBL099,sf_marketCorpPharma,policy_documents
TBL109,TBL079,sf_marketCorpPharma,sf_accounts
TBL109,TBL004,sf_marketCorpPharma,sf_opportunities
TBL109,TBL088,sf_marketCorpPharma,grid
TBL110,TBL088,grid_all,grid
TBL110,TBL046,grid_all,geo_countryTerritory
TBL125,TBL126,Last Refreshed Concur,concur_eventsTE
TBL127,TBL128,sf_IFIOpportunities,events_ROI
TBL128,TBL129,events_ROI,asana_DSManagedEvents
TBL128,TBL130,events_ROI,netsuite_fxRates
TBL128,TBL131,events_ROI,monday_eventcodefix
TBL128,TBL132,events_ROI,concur_eventsTE
TBL128,TBL133,events_ROI,sf_campaigns
TBL128,TBL134,events_ROI,sf_leads
TBL128,TBL004,events_ROI,sf_opportunities
TBL134,TBL135,sf_leads,salesforce_lead
TBL134,TBL025,sf_leads,salesforce_campaign
TBL134,TBL136,sf_leads,salesforce_categoryLeadScore
TBL133,TBL025,sf_campaigns,salesforce_campaign
TBL133,TBL137,sf_campaigns,campaign_member
TBL137,TBL138,campaign_member,campaign_member
TBL137,TBL139,campaign_member,lead
TBL137,TBL010,campaign_member,contact
TBL137,TBL007,campaign_member,account
TBL141,TBL142,bi_lookerUsageHistory,bi_lookerUsageHistory
TBL141,TBL143,bi_lookerUsageHistory,ga4_looker_studio_data
TBL144,TBL129,Asana_events24,asana_DSManagedEvents
TBL145,TBL129,NoSFCampaign,asana_DSManagedEvents
TBL145,TBL133,NoSFCampaign,sf_campaigns
TBL146,TBL129,UnmatchedTE,asana_DSManagedEvents
TBL146,TBL130,UnmatchedTE,netsuite_fxRates
TBL146,TBL131,UnmatchedTE,monday_eventcodefix
TBL146,TBL132,UnmatchedTE,concur_eventsTE
TBL147,TBL128,events_ROI,events_ROI
TBL149,TBL150,sf_IFIOpportunities,sf_IFIOpportunities
TBL150,TBL021,sf_IFIOpportunities,salesforce_currencyType
TBL150,TBL004,sf_IFIOpportunities,sf_opportunities
TBL150,TBL062,sf_IFIOpportunities,sf_activities
TBL151,TBL152,sf_IFIOppStageChanges,sf_IFIOppStageChanges
TBL152,TBL153,sf_IFIOppStageChanges,sf_opportunityHistory
TBL153,TBL154,sf_opportunityHistory,salesforce_opportunityHistory
TBL152,TBL004,sf_IFIOppStageChanges,sf_opportunities
TBL155,TBL142,bi_lookerUsageHistory,bi_lookerUsageHistory
TBL155,TBL143,bi_lookerUsageHistory,ga4_looker_studio_data
TBL157,TBL158,sf_IFIOpenOppValues,sf_IFIOpenOppValues
TBL158,TBL021,sf_IFIOpenOppValues,salesforce_currencyType
TBL158,TBL004,sf_IFIOpenOppValues,sf_opportunities
TBL159,TBL160,sf_IFICreatedOpps,sf_IFICreatedOpps
TBL159,TBL004,sf_IFICreatedOpps,sf_opportunities
TBL163,TBL164,bob_EmployeeHistoryBasic,bob_EmployeeHistory
TBL164,TBL165,bob_EmployeeHistory,employee_life_cycle_history
TBL164,TBL166,bob_EmployeeHistory,employee_work_history
TBL164,TBL167,bob_EmployeeHistory,company
TBL164,TBL168,bob_EmployeeHistory,employee
TBL170,TBL171,bob_EmployeeAllocations,bob_Employee
TBL171,TBL165,bob_Employee,employee_life_cycle_history
TBL171,TBL166,bob_Employee,employee_work_history
TBL171,TBL167,bob_Employee,company
TBL171,TBL168,bob_Employee,employee
TBL170,TBL172,bob_EmployeeAllocations,bob_staticSegmentProductAllocationv1
TBL173,TBL174,Last Refreshed (Latest),bob_Employee
TBL174,TBL165,bob_Employee,employee_life_cycle_history
TBL174,TBL166,bob_Employee,employee_work_history
TBL174,TBL167,bob_Employee,company
TBL174,TBL168,bob_Employee,employee
TBL175,TBL171,bob_one_ones,bob_Employee
TBL175,TBL176,bob_one_ones,bob_one_ones
TBL177,TBL171,gemini_appcounts,bob_Employee
TBL177,TBL178,gemini_appcounts,gemini_UsageRawTable
TBL112,TBL134,sf_LeadsbyMonth,sf_leads
TBL114,TBL004,sf_OppsCreatedbyMonth,sf_opportunities
TBL115,TBL178,gemini_appcounts,gemini_UsageRawTable
TBL116,TBL117,anaplan_EBITDAMTD,anaplan_EBITDAMTD
TBL116,TBL030,anaplan_EBITDAMTD,anaplan_lastClosedPeriod
TBL117,TBL118,anaplan_EBITDAMTD,anaplan_PLStaging
TBL117,TBL119,anaplan_EBITDAMTD,anaplan_AllocationsStaging
TBL117,TBL120,anaplan_EBITDAMTD,anaplan_CurrentPeriod